movie,component1,component2,component3
Taxi Driver,-0.253028135,-0.987322257,0.483850161
The Sting,-0.231044609,0.104218723,-0.1569767
A Clockwork Orange,-0.339647879,-0.887564802,0.359995061
2001: A Space Odyssey,-0.858437991,0.717009288,0.10255289
For a Few Dollars More,0.200936734,-0.28727389,0.350011425
Lawrence of Arabia,0.027783136,0.236762174,-0.340464856
The Apartment,-0.187234003,0.100382497,-0.742381972
North by Northwest,-0.651536185,0.441515171,0.094132875
Vertigo,-0.466156123,0.346533335,-0.043379143
Singin' in the Rain,-0.47585365,0.559312917,-0.419622848
Ikiru,1.557348983,0.583687358,0.127394409
Bicycle Thieves,1.076263041,0.152121936,-0.427853538
Double Indemnity,-0.11810042,-0.242708935,-0.075363966
Citizen Kane,-0.232313676,0.018604957,-0.413122484
M,0.896357131,0.177509701,0.738141372
Metropolis,1.155010944,0.278488797,-0.194573849
The Kid,-0.037128982,0.353740049,-0.531750854
Chhichhore,1.700867747,0.731562832,-0.030704703
Uri: The Surgical Strike,1.676153321,0.702936742,0.459456846
K.G.F: Chapter 1,1.508031873,0.61798538,0.497321355
Green Book,-0.301317678,0.049580225,-0.937222837
"Three Billboards Outside Ebbing, Missouri",-0.347045504,-0.786326716,0.193340626
Talvar,1.848268749,0.273835742,0.52379702
Baahubali 2: The Conclusion,1.510215324,0.618905653,0.498967349
Klaus,-0.316106105,1.268851518,0.130759768
Drishyam,1.420744646,0.151885524,0.361021875
Queen,1.111484363,0.992516718,-0.242522347
Tangerines,1.265604578,0.303440916,-0.132762764
Soul,-0.840516001,1.231954377,0.085840638
Bhaag Milkha Bhaag,1.749143237,0.486085063,-0.060743801
Gangs of Wasseypur,1.073639696,-0.366675806,1.153386817
Udaan,1.75945219,0.573921322,0.084134848
Paan Singh Tomar,1.440900174,0.790249983,1.100680322
The Secret in Their Eyes,0.813805554,-0.666290352,0.272349195
Warrior,-0.392671755,0.112943265,0.046034522
Shutter Island,-0.43739792,-0.481457571,0.549403264
Up,-0.884366774,1.22530514,0.089401072
The Wolf of Wall Street,-0.204471527,-1.025827019,0.000690977
Chak De! India,1.58325971,0.599077365,-0.011136174
There Will Be Blood,-0.265421468,-0.672209922,0.028174287
Pan's Labyrinth,0.673323736,-0.534286135,0.370052517
V for Vendetta,-0.464034959,-0.572632457,0.472477116
Rang De Basanti,1.759547992,0.510083718,0.320335624
Black,1.330387727,0.456807428,-0.083483099
Batman Begins,-0.987185632,0.903864398,0.402168089
Swades,1.332172271,0.451955957,-0.084165902
Downfall,0.409833038,-0.886637317,-0.588748947
Howl's Moving Castle,0.322934962,1.551802794,0.596730775
A Beautiful Mind,-0.293099047,-0.000907036,-0.62501765
Hera Pheri,1.398679491,1.034797914,1.098944049
"Lock, Stock and Two Smoking Barrels",-0.099396887,-0.145992447,1.077497154
L.A. Confidential,-0.171332738,-0.961037138,0.454727539
The Bandit,1.267396753,-0.171137862,0.422148608
Heat,-0.204003312,-1.08080861,0.695096591
Casino,-0.061362499,-0.975117373,0.251535988
Andaz Apna Apna,0.917313751,1.300877245,0.436565268
Unforgiven,-0.253066517,-0.654172964,0.015876232
Indiana Jones and the Last Crusade,-0.85835569,0.910957691,0.317886811
Time of the Gypsies,0.529874795,-0.750716965,0.095578735
My Neighbor Totoro,0.578441214,1.131839801,0.452699563
Die Hard,-0.477575559,-0.243266099,0.915043866
Ran,0.880528461,-0.256650528,0.649259874
Raging Bull,-0.263129891,-0.736673677,-0.145697234
Stalker,1.353473835,0.427025097,0.027208498
Autumn Sonata,0.593765291,0.109948323,-0.522397996
The Message,0.395414803,0.160279851,-0.546435547
Sholay,1.099839202,1.6179654,0.87338222
Monty Python and the Holy Grail,-0.394162804,1.054795574,-0.305604687
The Great Escape,-0.428044516,0.050328865,-0.620926303
To Kill a Mockingbird,-0.105511974,-0.27001844,-0.018196619
Yojimbo,1.453298077,0.621795774,0.758971944
Judgment at Nuremberg,-0.067731433,-0.073910169,-0.555706304
Some Like It Hot,-0.461965126,0.481493044,-0.476710015
Wild Strawberries,1.291734882,0.248455713,-0.35303106
The Seventh Seal,1.227435311,0.30332992,-0.201630067
Rififi,0.93879793,-0.359276575,-0.198222373
Dial M for Murder,-0.415929086,0.238014433,0.486671681
Tokyo Story,1.120843937,0.461877568,-0.037562491
Rashomon,1.403012199,0.18783584,0.489527032
All About Eve,-0.19358143,-0.094003243,-0.709672596
The Treasure of the Sierra Madre,-0.48266829,0.200753939,-0.129459225
To Be or Not to Be,-0.460899272,0.474218669,-0.389100942
The Gold Rush,-0.254248208,0.604918551,-0.346997704
Sherlock Jr.,-0.339080472,0.766608167,0.044745963
Portrait of a Lady on Fire,0.886007373,-0.705673068,-0.428823071
Pink,1.758523664,0.469773854,0.274765888
A Silent Voice: The Movie,1.294057255,0.764494418,0.158059968
The Invisible Guest,1.107309911,-0.184612023,0.5933301
The Handmaiden,1.37998437,0.253068958,0.060453535
Mommy,0.326009125,-0.637850416,-0.142848774
Haider,1.716079467,0.486499349,0.883627968
Logan,-0.45787101,-0.590166911,0.668168046
Room,-0.373317165,-0.849286649,0.140369923
Wild Tales,0.682607424,-0.683625796,0.281879253
Winter Sleep,0.92713502,0.030938267,-0.354964752
PK,1.701988935,0.741874113,-0.051531365
OMG: Oh My God!,1.235642478,0.686163651,-0.201533348
The Grand Budapest Hotel,-0.739261146,-0.150027329,0.366279276
Gone Girl,-0.220421259,-0.837520064,0.30776729
Wolf Children,0.844429258,0.802877404,0.125003726
Hacksaw Ridge,-0.17263107,-0.678259694,-0.06856446
Inside Out,-0.895149072,1.21615321,0.080506165
Barfi!,1.731134548,0.718094113,-0.273066114
12 Years a Slave,-0.398460363,-0.848049211,-0.269081242
Rush,-0.442797063,-0.980831318,-0.086783089
Ford v Ferrari,-0.307269023,0.083993873,-0.443712093
Spotlight,-0.227556637,-0.976990316,0.258221103
Song of the Sea,0.143891761,0.640405616,-0.231825365
Kahaani,1.517020557,0.775868065,0.693017431
Zindagi Na Milegi Dobara,1.688744433,0.729765704,-0.039950261
Prisoners,-0.135153776,-0.950414708,0.481546339
Mad Max: Fury Road,-0.969897264,0.224023207,1.039829276
A Wednesday,1.709888466,0.491751328,0.879162484
Gran Torino,-0.21542117,-0.701098277,0.03678281
Harry Potter and the Deathly Hallows: Part 2,-0.670485175,0.428088958,-0.423621047
Departures,0.901902475,0.452079369,-0.134334905
Hachi: A Dog's Tale,-0.071262541,0.131267035,-0.427915777
Mary and Max,0.850453967,0.613190111,-0.200167454
How to Train Your Dragon,-0.893009932,1.216791476,0.651363898
Elite Squad,-0.164526674,-1.034587571,0.49822215
Into the Wild,-0.478321862,-0.392788245,0.067133563
No Country for Old Men,-0.259824665,-1.113939493,0.718712817
Lage Raho Munna Bhai,1.232542551,0.693037039,-0.479997168
Million Dollar Baby,-0.30332868,0.064596446,-0.530261072
Hotel Rwanda,-0.346045021,-0.199323833,-1.144084532
Tae Guk Gi: The Brotherhood of War,0.765798428,-0.320845846,0.722884379
Before Sunset,-0.130605642,-0.840257919,-0.640557558
Munna Bhai M.B.B.S.,1.702315503,0.745012237,-0.063274586
Memories of Murder,0.793778974,0.083763927,0.642808035
Dil Chahta Hai,1.730678208,0.718794959,-0.283470199
Kill Bill: Vol. 1,-0.396813038,-0.340052456,1.256129318
Finding Nemo,-0.852565863,1.077279686,0.123385016
Catch Me If You Can,-0.276064403,-0.308834045,-0.54316072
Amores Perros,0.713051857,-0.668809404,0.605415805
"Monsters, Inc.",-0.810375028,1.091851845,0.115131084
Neon Genesis Evangelion: The End of Evangelion,1.391300963,0.89487192,0.66200759
Lagaan: Once Upon a Time in India,0.44684853,0.781552486,-0.071395711
The Sixth Sense,-0.285291106,-0.233185426,-0.133054605
The Legend of 1900,0.522761744,-0.732450402,-0.552307893
The Truman Show,-0.428334462,0.338640668,-0.426406716
"Black Cat, White Cat",0.685789969,-0.295312068,0.478156046
The Big Lebowski,-0.628657233,-0.548971586,0.507276345
In the Mood for Love,0.722426978,0.181166,-0.45335259
Trainspotting,0.204919667,-0.625171582,0.038837808
Fargo,-0.295073096,-1.041075453,0.488246105
Underground,0.379038704,-0.000265623,-1.138061482
La Haine,1.546255555,0.006248361,-0.063540945
Dilwale Dulhania Le Jayenge,1.789693247,0.559571832,-0.166540273
Before Sunrise,-0.174750929,-0.777689329,-0.635903908
Three Colors: Red,0.874818076,-0.729468909,-0.338059839
Chungking Express,0.527000002,0.299353306,0.035967285
Jurassic Park,-0.994064527,0.885571828,0.626202503
In the Name of the Father,0.261950851,-0.938981649,0.246973781
Raise the Red Lantern,0.978804256,0.42955586,-0.332638133
Dead Poets Society,-0.311740646,0.281365106,-0.525239164
Stand by Me,-0.46891159,-0.290035561,0.172132501
Platoon,-0.362343797,-0.737435766,-0.151137461
"Paris, Texas",0.297518243,-0.838970488,-0.003616689
Nausicaä of the Valley of the Wind,0.30185556,1.527906302,0.596057808
The Thing,-0.502648144,-0.290300344,0.520435482
Pink Floyd: The Wall,0.296623383,-0.521291912,-0.011335465
Fitzcarraldo,0.282282973,0.461773225,-0.140902811
Fanny and Alexander,0.452425801,-0.833081368,-0.470170363
Blade Runner,-0.641675469,-0.171000348,1.069891598
The Elephant Man,-0.364401912,-0.040897522,-0.890920529
Monty Python's Life of Brian,-0.097219313,-0.10821864,0.22680905
The Deer Hunter,-0.253747153,-0.756805701,-0.347365214
Rocky,-0.227904694,0.16949802,-0.400360395
Network,-0.243434835,-0.648466033,-0.004231037
Barry Lyndon,-0.58314033,0.306939146,-0.823510295
The Mirror,0.946397671,0.114523584,-0.090955888
Chinatown,-0.290519016,-0.953362213,0.406990809
Paper Moon,-0.233281706,0.106926746,-0.162021288
Cries & Whispers,1.007549894,-0.432667852,0.190848004
Solaris,0.708277028,0.268784942,-0.157632544
Le Samouraï,1.268260079,-0.254842283,-0.076715218
Cool Hand Luke,-0.111472862,-0.278803364,-0.001260196
Persona,0.819997646,0.074011059,-0.066678392
Andrei Rublev,0.974635059,-0.543347525,0.008108521
The Battle of Algiers,0.797260339,0.07577786,-0.66795861
The Exterminating Angel,1.325045278,0.359963223,0.107119698
What Ever Happened to Baby Jane?,-0.141647883,-0.118742244,-0.208550244
Sanjuro,1.174097486,1.03695312,1.153326171
The Man Who Shot Liberty Valance,0.175254564,0.100247469,-0.360821064
Ivan's Childhood,1.435131453,0.346383325,-0.249643462
The Virgin Spring,1.452735434,0.337801097,-0.15739294
Inherit the Wind,-0.161787086,-0.126424922,-0.61944635
The 400 Blows,1.116632953,-0.101799337,-0.258661123
Ben-Hur,-0.435133264,0.331574177,-0.31615016
The Hidden Fortress,1.299526343,0.928811618,0.283147743
Nights of Cabiria,1.566345016,0.161795246,-0.302984246
Throne of Blood,1.53929308,0.548094413,0.040931592
The Bridge on the River Kwai,-0.512428611,0.523604792,-0.319950174
On the Waterfront,-0.116085068,-0.371941839,0.154191432
The Wages of Fear,0.674038126,0.022206432,-0.479615033
Ace in the Hole,-0.187769876,-0.171543994,-0.302638921
White Heat,0.366613222,0.118046193,0.494165777
The Third Man,0.039311036,0.130479096,0.062478221
The Red Shoes,0.922496805,0.13073365,-0.888192629
The Shop Around the Corner,0.161312804,0.256568964,-0.738573453
Rebecca,-0.107954411,-0.190667448,-0.849624544
Mr. Smith Goes to Washington,-0.208277361,0.153908482,-0.541385733
Gone with the Wind,-0.155466723,-0.081430847,-0.752979617
La Grande Illusion,1.079287329,0.063341161,-0.855928644
It Happened One Night,-0.456783744,0.491343154,-0.419235917
The Passion of Joan of Arc,1.097888272,0.017098497,-0.762485181
The Circus,-0.461155118,0.52732052,-0.459144912
Sunrise,0.063217751,0.061360772,-0.611044847
The General,-0.63175302,1.123902219,0.434605689
The Cabinet of Dr. Caligari,1.165106993,0.718890727,0.223696272
Shoplifters,0.923023495,-0.516972851,0.804078661
Badhaai Ho,1.675780978,0.726055095,-0.037841662
Togo,-0.477733861,0.42939342,-0.332286897
Airlift,1.74174796,0.535662123,-0.001219317
Bajrangi Bhaijaan,1.079656105,1.603302577,0.910096442
Baby,1.444890601,0.762494846,1.415947182
La La Land,-0.381833787,0.18607921,-0.621557188
Lion,-0.237419517,0.029482208,-0.667805476
The Martian,-0.726856915,0.402800413,-0.334879266
Zootopia,-0.865298576,1.228370761,0.086528403
Baahubali: The Beginning,1.657151998,0.715342286,0.527779423
The Tale of The Princess Kaguya,0.579738345,1.057699512,0.265574933
Wonder,-0.268359565,0.240407716,-0.344893972
Gully Boy,1.216274118,0.352481471,-0.413629544
Special 26,1.804847073,0.242267872,0.629442947
Short Term 12,-0.248662742,-0.660380291,0.024296821
The Raid 2,-0.444545189,-0.372898558,1.480475433
The Imitation Game,-0.395928014,-0.21423419,-0.639822349
Guardians of the Galaxy,-0.971169021,1.100408054,0.331321501
Blade Runner 2049,-0.423032313,-0.7347495,0.684747414
Her,-0.313182654,-0.650239986,-0.140170049
Bohemian Rhapsody,-0.333991114,-0.06201298,-0.746324082
The Revenant,-0.592106992,-0.229543706,0.378390272
The Perks of Being a Wallflower,-0.230542458,0.068057343,-0.72888471
Elite Squad 2: The Enemy Within,1.192101303,0.226126263,0.756536993
The King's Speech,-0.409007674,-0.844058195,-0.25763673
The Help,-0.257805835,0.082236033,-0.492974
Deadpool,-0.897812024,0.384309462,0.874264892
Darbareye Elly,0.965475529,-0.076477053,-0.261920672
Dev.D,1.777131348,0.554160482,-0.158157302
Ip Man,0.732171913,-0.2734622,0.787333698
My Name Is Khan,0.131042991,0.276432313,-0.394026896
The Breath,0.989383263,0.288591296,0.640817148
Slumdog Millionaire,0.014681022,-0.664498106,-0.620290984
Black Swan,-0.239537192,-0.888264754,-0.117705471
The Avengers,-0.815721166,1.063280353,0.535995997
Persepolis,-0.277021402,-0.04721573,-1.144441206
Dallas Buyers Club,-0.205487377,-0.658885192,-0.009154703
The Pursuit of Happyness,-0.291862749,-0.009340506,-0.592146378
Blood Diamond,-0.535043755,-0.506654249,0.30139381
The Bourne Ultimatum,-0.593265668,0.053240827,0.218429343
3-Iron,0.983671856,-0.611903094,0.544483346
Sin City,-0.449001705,-0.598832859,0.931856712
The Diving Bell and the Butterfly,0.177454968,-0.071865289,-0.91594786
G.O.R.A.,0.02032971,1.057984674,0.298104424
Ratatouille,-0.859528026,1.006281215,-0.185316685
Casino Royale,-0.953434615,0.559820665,0.053844564
Kill Bill: Vol. 2,-0.624484742,-0.574437418,1.53750989
The Return,1.200046381,0.292666874,-0.083700203
"Spring, Summer, Fall, Winter... and Spring",0.844129788,-0.536733291,0.094643835
The Sea Inside,0.822408392,-0.065054681,-0.443484983
Cinderella Man,-0.281104649,-0.033003005,-0.724022905
Kal ho naa ho,1.136076423,0.564519014,-0.270402061
Infernal Affairs,0.288289613,-0.656358271,0.984321634
Pirates of the Caribbean: The Curse of the Black Pearl,-0.907359923,1.027273442,0.45271142
Big Fish,-0.519266733,0.504524782,-0.302912557
The Incredibles,-0.946307705,1.13560545,0.344894255
My Sassy Girl,0.98842917,0.392851687,-0.460510148
Dogville,0.544565151,-1.088690695,0.210921116
Vizontele,1.017039271,0.41109838,-0.113877044
Donnie Darko,-0.337761519,-0.709840025,0.162832049
Magnolia,-0.236158052,-0.765206684,-0.389455456
Dancer in the Dark,0.019469438,-1.238483929,-0.055402572
The Straight Story,-0.2367881,-0.243766571,-0.707726028
Perfect Blue,0.844539897,0.075370187,1.339043144
The Celebration,0.370013101,-0.655324553,-0.003327546
Central Station,0.853569935,-0.601662884,0.014998096
The Iron Giant,-0.916834067,1.209001302,0.620681385
Knockin' on Heaven's Door,0.625979541,0.639857739,0.726244743
Sling Blade,-0.256517709,-0.661060302,0.006951272
Secrets & Lies,0.226482714,-0.591850108,-0.24633768
12 Monkeys,-0.558430972,-0.475195006,0.414019711
Ghost in the Shell,0.541243165,0.758311788,1.235969735
The Nightmare Before Christmas,-0.632590474,0.888913983,-0.001042652
Groundhog Day,-0.544812361,0.63584459,-0.723509447
"Blood In, Blood Out",-0.171553127,-0.959889397,0.511287426
Scent of a Woman,-0.204663051,-0.637441911,0.024830523
Aladdin,-0.828094114,1.085508777,0.089387591
JFK,-0.171314254,-0.994336399,0.094910956
Beauty and the Beast,-0.608731712,0.67058763,-0.264454869
Dances with Wolves,-0.626692481,0.369582583,-0.449594385
Do the Right Thing,-0.341448231,-0.69645609,-0.032565215
Rain Man,-0.205935883,-0.706992864,-0.033940456
Akira,0.58215888,0.549415868,1.401722673
The Princess Bride,-0.812168529,1.059706255,0.09178951
Wings of Desire,0.445843518,-0.019589523,-1.021733157
Au Revoir les Enfants,0.476835381,-0.075379934,-0.998423327
Castle in the Sky,0.593034016,1.075811583,0.251435225
The Terminator,-0.866931243,-0.271736396,0.898406992
Gandhi,0.378957611,0.156023221,-0.557046825
Kagemusha,0.322653077,0.400879874,-0.233586161
Being There,-0.288931346,0.229757466,-0.610934229
Annie Hall,-0.564212601,0.633291049,-0.539436512
All the President's Men,-0.327535455,-0.066102655,-0.504444981
Jaws,-0.782560127,0.782057895,0.291522411
Dog Day Afternoon,-0.226794293,-0.96154293,0.220623454
Young Frankenstein,-0.574316034,0.657790425,-0.301239531
Papillon,-0.111967718,-1.147262451,0.216614202
The Exorcist,-0.541165822,-0.428279141,-0.079703508
Sleuth,-0.379931517,0.318516196,0.12214347
The Last Picture Show,-0.237297124,-0.672727948,-0.256291328
Fiddler on the Roof,-0.177659763,0.116417983,-0.449046466
The Conformist,0.882060957,-0.774508055,-0.318287654
Butch Cassidy and the Sundance Kid,-0.235495412,-0.237971019,-0.049392079
Rosemary's Baby,-0.2121897,-0.068732865,-0.384550923
Planet of the Apes,-0.769975055,0.787682581,0.194770473
The Graduate,-0.291857203,0.30739139,-0.767298139
Who's Afraid of Virginia Woolf?,0.167252279,-0.032607376,-0.251749476
The Sound of Music,-0.194974697,0.002197196,-0.647995207
Doctor Zhivago,-0.256112816,-0.106317727,-1.293969953
A Fistful of Dollars,0.727200655,-0.514899329,0.715865887
8½,0.920154293,-0.126170412,-0.916559095
Vivre Sa Vie,1.467692477,0.236175387,-0.459793223
The Hustler,0.186026221,0.09766823,-0.379487902
La Dolce Vita,0.853483581,0.029328943,-1.045724738
Rio Bravo,-0.362196038,-0.005966715,0.133457012
Anatomy of a Murder,0.25688174,-0.206167439,0.066245819
Touch of Evil,-0.330210666,-0.262191368,-0.106437109
Cat on a Hot Tin Roof,0.192003401,0.107922041,-0.361764664
Sweet Smell of Success,-0.22209798,-0.060058606,-0.418308326
The Killing,-0.141437256,-0.27313734,-0.05015726
The Night of the Hunter,0.213995917,-0.125644954,-0.026194679
La Strada,1.458110538,0.300284128,-0.150132192
Diabolique,1.101915973,-0.109379203,-0.262030512
Stalag 17,0.154388315,0.205114066,-0.704190875
Roman Holiday,-0.045744282,0.535281685,-0.546680782
A Streetcar Named Desire,-0.347624943,0.040850293,-0.320091179
In a Lonely Place,0.406957615,0.122509214,-0.246582167
Kind Hearts and Coronets,0.590281712,0.544182737,0.293655616
Rope,-0.074191624,-0.33111237,0.044288582
Out of the Past,0.441851046,-0.026452293,0.040970999
Brief Encounter,0.676543624,0.062539051,-0.882870557
Laura,0.026416631,-0.010405083,-0.305545609
The Best Years of Our Lives,-0.144401972,-0.079153067,-0.713212438
Arsenic and Old Lace,0.14093548,0.370979888,0.339900169
The Maltese Falcon,-0.082705975,0.408242259,0.025505808
The Grapes of Wrath,-0.210867762,-0.064945852,-0.524170931
The Wizard of Oz,-0.850683005,1.059376214,0.038916918
The Rules of the Game,0.989089751,0.239535009,-0.887390182
The Thin Man,-0.412108693,0.206618268,0.275471523
All Quiet on the Western Front,-0.181616798,-0.180663582,-0.943244492
Battleship Potemkin,1.186047867,0.194522793,-0.069758387
Knives Out,-0.203227475,-0.018276887,-0.114746598
Dil Bechara,1.697013512,0.70966985,-0.272923391
Marriage Story,-0.460451124,-0.70256951,-0.301731014
Call Me by Your Name,-0.070131593,-1.021334704,-0.877302865
"I, Daniel Blake",0.317246683,-0.745964756,-0.128733409
Isle of Dogs,-0.859509286,1.200799668,0.009211197
Dunkirk,-0.444270186,-0.119907057,-0.792789133
Hunt for the Wilderpeople,-0.048297001,0.673427525,-0.37490184
Captain Fantastic,-0.306301056,-0.498201566,-0.093948776
Sing Street,0.112731147,0.133860983,-0.98768116
Thor: Ragnarok,-0.977528494,1.097389298,0.334160803
Nightcrawler,-0.194608693,-0.986195786,0.581624346
Jojo Rabbit,-0.310390363,0.198903807,-0.811225612
Arrival,-0.43054015,0.077363937,-0.427223961
Star Wars: Episode VII - The Force Awakens,-1.000804661,0.965390107,0.510986638
Before Midnight,-0.252919113,-0.765146917,-0.510603253
X-Men: Days of Future Past,-1.115872402,0.828469542,0.150550418
Once Upon a Time in Anatolia,1.289532211,0.080487326,0.306294652
The Artist,-0.247439247,0.027917817,-1.332211048
Edge of Tomorrow,-0.998451118,0.961781173,0.522781353
Amour,0.385629742,-0.094324251,-1.099655254
The Irishman,-0.267454124,-1.24787615,0.169005303
A Prophet,0.901968391,-0.901871796,0.158033961
Moon,-0.434705868,-0.860222389,0.209500801
Let the Right One In,0.760077916,-0.7404956,0.756308254
District 9,-0.765068515,-0.218291133,1.108094522
The Wrestler,-0.170299897,-0.770800065,-0.133277574
Jab We Met,1.698945554,0.711077156,-0.286082774
Boyhood,-0.360342133,-0.798932005,0.129283062
"4 Months, 3 Weeks and 2 Days",1.160583876,0.276477037,-0.105520217
Star Trek,-0.97790722,0.918213758,0.492234969
